
$GPRMC,114541.881,V,,,,,0.16,86.44,200416,,,N*70,0.0000000000,0.0000000000,11:45:41,0/0/200,25,27,102.62,233,19.34,108.66,0,0
$GPRMC,114542.881,V,,,,,1.30,138.28,200416,,,N*48,0.0000000000,0.0000000000,11:45:42,0/0/200,26,28,46.28,374,20.31,129.67,0,0
$GPGGA,114543.881,,,,,0,02,,,M,,M,,*7D,0.0000000000,0.0000000000,11:45:43,0/0/200,26,52,64.63,325,24.22,151.48,0,0
$GPRMC,114543.881,V,,,,,1.85,118.17,200416,,,N*49,0.0000000000,0.0000000000,11:45:43,20/4/2016,23,108,108.00,108,24.71,158.00,0,0
$GPRMC,114544.898,A,5129.5716,N,00000.5312,E,2.50,22.54,200416,,,A*5E,51.4928627014,0.0088533010,11:45:44,20/4/2016,7,55,36.13,346,22.27,159.70,0,0
$GPRMC,114545.893,A,5129.5769,N,00000.5330,E,2.54,17.23,200416,,,A*5E,51.4929428100,0.0088833007,11:45:45,20/4/2016,12,14,32.70,344,22.75,157.30,0,0
$GPRMC,114546.885,A,5129.5690,N,00000.5303,E,2.11,6.50,200416,,,A*68,51.4928131103,0.0088382997,11:45:46,20/4/2016,9,32,43.29,341,21.29,147.57,0,0
$GPRMC,114547.884,A,5129.5661,N,00000.5301,E,1.73,357.76,200416,,,A*60,51.4927635192,0.0088350009,11:45:47,20/4/2016,7,46,63.02,391,21.29,134.40,0,0
$GPRMC,114548.883,A,5129.5624,N,00000.5266,E,1.94,344.82,200416,,,A*69,51.4927101135,0.0087765998,11:45:48,20/4/2016,8,18,26.66,281,21.78,122.41,0,0
$GPRMC,114549.883,A,5129.5619,N,00000.5262,E,0.88,350.16,200416,,,A*66,51.4926986694,0.0087700004,11:45:49,20/4/2016,10,32,23.99,311,22.27,110.47,0,0
$GPRMC,114550.881,A,5129.5616,N,00000.5260,E,0.69,358.71,200416,,,A*67,51.4926910400,0.0087666006,11:45:50,20/4/2016,6,17,27.24,310,22.27,100.15,0,0
$GPRMC,114552.000,A,5129.5616,N,00000.5259,E,0.53,13.07,200416,,,A*5A,51.4926910400,0.0087650003,11:45:52,20/4/2016,6,24,19.66,279,21.29,90.72,0,0
$GPRMC,114553.000,A,5129.5616,N,00000.5260,E,0.55,19.05,200416,,,A*5F,51.4926910400,0.0087666006,11:45:53,20/4/2016,8,10,19.70,324,23.24,83.88,0,0
$GPRMC,114554.000,A,5129.5619,N,00000.5261,E,0.65,21.36,200416,,,A*5E,51.4926986694,0.0087683010,11:45:54,20/4/2016,9,12,19.15,321,23.73,78.25,0,0
$GPRMC,114555.000,A,5129.5614,N,00000.5271,E,0.77,74.07,200416,,,A*52,51.4926910400,0.0087850008,11:45:55,20/4/2016,10,34,20.07,308,24.22,72.97,0,0
$GPRMC,114556.000,A,5129.5612,N,00000.5284,E,1.70,82.13,200416,,,A*57,51.4926834106,0.0088066005,11:45:56,20/4/2016,15,32,23.49,306,25.20,70.76,0,0
$GPRMC,114557.000,A,5129.5613,N,00000.5294,E,2.30,75.52,200416,,,A*5C,51.4926910400,0.0088233003,11:45:57,20/4/2016,20,13,31.96,317,24.71,68.61,0,0
$GPRMC,114558.000,A,5129.5613,N,00000.5304,E,2.68,74.62,200416,,,A*54,51.4926910400,0.0088400001,11:45:58,20/4/2016,10,61,33.61,304,24.71,66.18,0,0
$GPRMC,114559.000,A,5129.5614,N,00000.5317,E,3.62,78.93,200416,,,A*59,51.4926910400,0.0088616008,11:45:59,20/4/2016,8,27,43.62,302,24.71,63.66,0,0
$GPRMC,114600.000,A,5129.5617,N,00000.5332,E,4.23,78.96,200416,,,A*55,51.4926910400,0.0088866004,11:46:0,20/4/2016,9,42,30.39,343,26.17,62.48,0,0
$GPRMC,114601.000,A,5129.5619,N,00000.5344,E,2.26,70.08,200416,,,A*57,51.4926986694,0.0089065999,11:46:1,20/4/2016,10,28,39.97,322,26.66,61.73,0,0
$GPRMC,114602.000,A,5129.5623,N,00000.5352,E,1.94,359.11,200416,,,A*60,51.4927101135,0.0089200000,11:46:2,20/4/2016,10,27,58.89,334,27.15,61.07,0,0
$GPRMC,114603.000,A,5129.5626,N,00000.5354,E,1.48,60.20,200416,,,A*58,51.4927101135,0.0089233007,11:46:3,20/4/2016,12,43,42.30,319,26.17,60.48,0,0
